timestamp,calibration_percent,is_artifacted_sequence,mental_param_1,mental_param_2,mental_param_3,spectral_delta,spectral_theta,spectral_alpha,spectral_beta,spectral_gamma,attention_state
2025-05-16T16:00:10.136438,100,0,0,0,0,0,0.172732048,0.473363014,0.353904938,0,Neutral
2025-05-16T16:00:10.191667,100,0,3.9373578,0,39.57792335,0,0.403215347,0.416751758,0.180032895,0,Neutral
2025-05-16T16:00:10.194370,100,0,5.870843464,0,39.36529384,0,0.405181253,0.41726458,0.177554166,0,Neutral
2025-05-16T16:00:10.370829,100,0,7.780741031,0,39.15649935,0,0.40695573,0.417846918,0.175197351,0,Neutral
2025-05-16T16:00:10.374036,100,0,9.667021859,0,38.95164763,0,0.408544296,0.418487703,0.172968,0,Neutral
2025-05-16T16:00:10.377999,100,0,11.52966581,0,38.75078478,0,0.409936145,0.419187894,0.170875961,0,Neutral
2025-05-16T16:00:10.382480,100,0,13.36877752,0,38.55402427,0,0.411134673,0.41993653,0.168928798,0,Neutral
2025-05-16T16:00:10.491083,100,0,15.18444686,0,38.36143084,0,0.412108861,0.42075864,0.167132499,0,Neutral
2025-05-16T16:00:10.494338,100,0,16.97679264,0,38.17315304,0,0.412856244,0.421644816,0.165498941,0,Neutral
2025-05-16T16:00:10.551380,100,0,18.74594368,0,37.98930296,0,0.413383957,0.42258514,0.164030903,0,Neutral
2025-05-16T16:00:10.555684,100,0,20.49213694,0,37.80997059,0,0.413688503,0.423586698,0.162724799,0,Neutral
2025-05-16T16:00:10.673754,100,0,22.21572572,0,37.63532489,0,0.413776589,0.424638719,0.161584692,0,Neutral
2025-05-16T16:00:10.677740,100,0,21.93664117,0,37.46538374,0,0.413641922,0.425738725,0.160619353,0,Neutral
2025-05-16T16:00:10.680412,100,0,21.65896091,0,37.2962977,0,0.413283231,0.426884004,0.159832765,0,Neutral
2025-05-16T16:00:10.731375,100,0,21.38319755,0,37.1283789,0,0.412698818,0.428075456,0.159225726,0,Neutral
2025-05-16T16:00:10.791187,100,0,21.10987645,0,36.96194725,0,0.411884931,0.429312802,0.158802267,0,Neutral
2025-05-16T16:00:10.795527,100,0,20.83939437,0,36.79724434,0,0.410850878,0.430587227,0.158561896,0,Neutral
2025-05-16T16:00:10.849544,100,0,20.57215892,0,36.63451839,0,0.409607087,0.431890047,0.158502866,0,Neutral
2025-05-16T16:00:10.911836,100,0,20.30847231,0,36.47395341,0,0.408138687,0.43322554,0.158635772,0,Neutral
2025-05-16T16:00:10.971094,100,0,20.04867115,0,36.31575437,0,0.406465589,0.434581201,0.15895321,0,Neutral
2025-05-16T16:00:11.209736,100,0,19.79301822,0,36.16008128,0,0.404552312,0.435991268,0.15945642,0,Neutral
2025-05-16T16:00:11.218085,100,0,19.54176804,0,36.00708913,0,0.402436096,0.437421496,0.160142408,0,Neutral
2025-05-16T16:00:11.222669,100,0,19.05264956,0,35.70925338,0,0.397635618,0.440327407,0.162036975,0,Neutral
2025-05-16T16:00:11.225527,100,0,18.81467638,0,35.56434592,0,0.394954247,0.441808459,0.163237293,0,Neutral
2025-05-16T16:00:11.229001,100,0,18.58092607,0,35.42200985,0,0.392104603,0.443295523,0.164599874,0,Neutral
2025-05-16T16:00:11.232445,100,0,18.35111043,0,35.2820697,0,0.389105221,0.444776082,0.166118697,0,Neutral
2025-05-16T16:00:11.269287,100,0,18.12479874,0,35.14426318,0,0.385955686,0.446263632,0.167780681,0,Neutral
2025-05-16T16:00:11.272508,100,0,17.90166863,0,35.00839401,0,0.382651981,0.447768265,0.169579754,0,Neutral
2025-05-16T16:00:11.331087,100,0,17.68126571,0,34.87418548,0,0.379214875,0.449272555,0.171512571,0,Neutral
2025-05-16T16:00:11.390279,100,0,17.46304071,0,34.74130314,0,0.375616224,0.45081335,0.173570426,0,Neutral
2025-05-16T16:00:11.451295,100,0,17.24633382,0,34.60934522,0,0.371901964,0.452369559,0.175728478,0,Neutral
2025-05-16T16:00:11.454454,100,0,17.03055812,0,34.47795432,0,0.368100624,0.453917372,0.177982005,0,Neutral
2025-05-16T16:00:11.570747,100,0,16.81501482,0,34.34670493,0,0.36421028,0.455464555,0.180325165,0,Neutral
2025-05-16T16:00:11.574572,100,0,16.59895082,0,34.21513848,0,0.360209034,0.457050323,0.182740644,0,Neutral
2025-05-16T16:00:11.633210,100,0,16.38180346,0,34.08291234,0,0.356199437,0.458600235,0.185200327,0,Neutral
2025-05-16T16:00:11.636481,100,0,16.1628245,0,33.9495709,0,0.352140593,0.46015073,0.187708677,0,Neutral
2025-05-16T16:00:11.639949,100,0,15.9412487,0,33.81464818,0,0.348045897,0.461711981,0.190242122,0,Neutral
2025-05-16T16:00:11.747587,100,0,15.71643381,0,33.6777531,0,0.343952274,0.463268983,0.192778744,0,Neutral
2025-05-16T16:00:11.754185,100,0,15.48778315,0,33.53852233,0,0.339899841,0.464800311,0.195299849,0,Neutral
2025-05-16T16:00:11.757995,100,0,15.25468907,0,33.39658587,0,0.335846757,0.466353173,0.19780007,0,Neutral
2025-05-16T16:00:11.811526,100,0,15.01670641,0,33.25167262,0,0.331847845,0.467891878,0.200260278,0,Neutral
2025-05-16T16:00:11.929977,100,0,14.77332469,0,33.10347177,0,0.327871076,0.469460631,0.202668293,0,Neutral
2025-05-16T16:00:11.995785,100,0,14.52406924,0,32.95169425,0,0.323969067,0.471045443,0.20498549,0,Neutral
2025-05-16T16:00:12.049484,100,0,14.26848577,0,32.79606347,0,0.320174792,0.472634399,0.207190809,0,Neutral
2025-05-16T16:00:12.052790,100,0,14.00622519,0,32.63636683,0,0.316519603,0.474218959,0.209261439,0,Neutral
2025-05-16T16:00:12.056654,100,0,13.73702139,0,32.4724423,0,0.313011845,0.475800934,0.21118722,0,Neutral
2025-05-16T16:00:12.062932,100,0,13.4604815,0,32.30405065,0,0.309689192,0.477371359,0.212939449,0,Neutral
2025-05-16T16:00:12.111070,100,0,13.1765061,0,32.13113135,0,0.306535194,0.478958609,0.214506197,0,Neutral
2025-05-16T16:00:12.115014,100,0,12.88512451,0,31.95370224,0,0.303578694,0.480555039,0.215866267,0,Neutral
2025-05-16T16:00:12.169215,100,0,12.58638632,0,31.77179352,0,0.300832083,0.482156481,0.217011436,0,Neutral
2025-05-16T16:00:12.230499,100,0,12.28044278,0,31.5854973,0,0.299267979,0.48354986,0.217182162,0,Neutral
2025-05-16T16:00:12.233691,100,0,11.96744266,0,31.39490417,0,0.297908611,0.484954842,0.217136547,0,Neutral
2025-05-16T16:00:12.292441,100,0,11.64756216,0,31.2001214,0,0.29681255,0.486324268,0.216863182,0,Neutral
2025-05-16T16:00:12.350612,100,0,11.321155,0,31.0013644,0,0.295958022,0.487682817,0.216359161,0,Neutral
2025-05-16T16:00:12.481092,100,0,10.98871316,0,30.79893274,0,0.29534362,0.489033726,0.215622654,0,Neutral
2025-05-16T16:00:12.538172,100,0,10.65080124,0,30.59317022,0,0.294985808,0.490365456,0.214648736,0,Neutral
2025-05-16T16:00:12.590185,100,0,10.3080225,0,30.38444418,0,0.294891232,0.491664246,0.213444523,0,Neutral
